rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;CLASS_UNIT;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;INCLUDEDBYMOEX;IS_QUALIFIED_INVESTORS;HIGH_RISK;EVENINGSESSION;MORNINGSESSION;WEEKENDSESSION;SUSPENSION_LISTING;ISSUEDATE;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED;FULL_COVERED_LIMIT
LEAS;Европлан;ПАО «ЛК «Европлан»;Акции обыкновенные;RU000A0ZZFS9;1-01-16419-A;;1;1,0;RUB;120000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;29.03.2024;2025-12-15;;;закрытие реестра;78420000000.0;78420000000.0;"Публичное акционерное общество ""Лизинговая компания ""Европлан""";9705101614;1;653,75;653,75;523,0;784,5;294,19;1013,31;163,44;1144,06;20,0;50251;55,0;251255;75,0;7,56000;8,04000;0;0
LENT;Лента ао;Лента МКПАО ао;Акции обыкновенные;RU000A102S15;1-01-16686-A;;1;0,09126;RUB;115985197;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;01.12.2021;;;;;210281162161.0;210281162161.0;"Международная компания публичное акционерное общество ""Лента""";3906399157;1;1806,51;1806,51;1354,88;2258,14;1246,49;2366,53;1120,04;2492,98;25,0;7977;31,0;39885;38,0;6,92000;7,04000;0;0
LIFE;Фармсинтез;Фармсинтез ПАО ао;Акции обыкновенные;RU000A0JR514;1-02-09669-J;;3;5,0;RUB;440394854;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;24.11.2010;;;;;1252923359.63;1252923359.63;"Публичное акционерное общество ""Фармсинтез""";7801075160;100;2,8778;2,8778;0,8633;4,8923;0,5756;5,18;0,1439;5,6117;70,0;3097000;80,0;15485000;95,0;8,56000;13,45000;1;-3781849
LKOH;ЛУКОЙЛ;НК ЛУКОЙЛ (ПАО) - ао;Акции обыкновенные;RU0009024277;1-01-00077-A;;1;0,025;RUB;692865762;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;20.08.2003;2026-05-04;;;закрытие реестра;3636505951857.0;3636505951857.0;"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""";7708004767;1;5268,24;5268,24;4214,59;6321,89;3898,5;6637,98;3529,72;7006,76;20,0;206836;26,0;1034180;33,0;6,84000;8,24000;0;0
LMBZ;Ламбумиз;Ламбумиз;Акции обыкновенные;RU000A108ZX6;1-01-09188-H;;3;0,025;RUB;20752219;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;30.10.2024;2025-07-07;3.5;0.0072;закрытие реестра;9400755207.0;9400755207.0;"Публичное акционерное общество ""Ламбумиз""";7729038566;1;453,16;453,16;0,0;906,32;0,0;906,32;0,0;906,32;100,0;;;;;6,68000;7,30000;1;-731
LNZL;Лензолото;"""Лензолото"" ПАО ао";Акции обыкновенные;RU000A0JP1N2;1-02-40433-N;;3;1,0;RUB;1140300;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;12.12.2008;2025-06-02;;;закрытие реестра;1436778000.0;1500754800.0;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";3802000096;1;1387,73;1387,73;0,0;2775,46;0,0;2775,46;0,0;2775,46;100,0;;;;;;;1;0
LNZLP;Лензол. ап;"""Лензолото"" ПАО ап";Акции привилегированные;RU000A0JP1P7;2-02-40433-N;;3;1,0;RUB;347700;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;18.06.2009;2025-06-02;9.55;0.006;закрытие реестра;63976800.0;1500754800.0;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";3802000096;1;197,68;197,68;0,0;395,36;0,0;395,36;0,0;395,36;100,0;;;;;;;1;0
LPSB;ЛЭСК ао;Липецкая энергосбыт.ком.ОАО ао;Акции обыкновенные;RU000A0D8MR7;1-01-65097-D;;3;0,22;RUB;155521950;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;16.08.2005;2026-05-22;;;закрытие реестра (рекомендуемая);9377973585.0;9377973585.0;"Публичное акционерное общество ""Липецкая энергосбытовая компания""";4822001244;100;60,3542;60,3542;0,0;120,7084;0,0;120,7084;0,0;120,7084;100,0;;;;;12,09000;26,70000;1;-5475
LSNG;РСетиЛЭ;Россети Ленэнерго ПАО-ао;Акции обыкновенные;RU0009034490;1-01-00073-A;;3;1,0;RUB;8523785320;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;16.07.2003;2026-06-17;;;закрытие реестра (рекомендуемая);147546723889.2;182665400196.25;"Публичное акционерное общество ""Россети Ленэнерго""";7803002209;100;16,4801;16,4801;0,0;32,9602;0,0;32,9602;0,0;32,9602;100,0;;;;;9,54000;18,85000;1;-805085
LSNGP;РСетиЛЭ-п;Россети Ленэнерго ПАО-ап;Акции привилегированные;RU0009092134;2-01-00073-A;;3;1,0;RUB;93264311;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;16.07.2003;2026-06-17;;;закрытие реестра (рекомендуемая);35118676307.05;182665400196.25;"Публичное акционерное общество ""Россети Ленэнерго""";7803002209;10;357,784;357,784;239,715;475,853;178,892;536,676;89,446;626,122;33,0;49492;50,0;247460;75,0;7,83000;9,22000;0;0
LSRG;ЛСР ао;Группа ЛСР ПАО ао;Акции обыкновенные;RU000A0JPFP0;1-01-55234-E;;1;0,25;RUB;103030215;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.11.2007;2025-04-29;78.0;0.0996;закрытие реестра;64517520633.0;64517520633.0;"Публичное акционерное общество ""Группа ЛСР""";7838360491;1;625,13;625,13;418,84;831,42;312,57;937,7;156,28;1093,98;33,0;15332;50,0;76660;75,0;6,56000;7,72000;0;0
LVHK;Левенгук;Левенгук ПАО ао;Акции обыкновенные;RU000A0JT7Y2;1-01-04329-D;;3;10,0;RUB;52940000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;28.11.2012;2024-06-28;0.3;0.0068;закрытие реестра;1302324000.0;1302324000.0;"Публичное акционерное общество ""Левенгук""";7839462305;100;24,6813;24,6813;0,0;49,3626;0,0;49,3626;0,0;49,3626;100,0;;;;;11,43000;22,68000;1;0
MAGE;МагадЭн ао;"""Магаданэнерго"" ПАО ао";Акции обыкновенные;RU0006758919;1-01-00254-A;;3;1,0;RUB;463838268;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;12.11.2010;;;;;1326577446.48;1662354296.95;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";4909047148;100;2,8378;2,8378;0,0;5,6756;0,0;5,6756;0,0;5,6756;100,0;;;;;6,37000;11,21000;1;0
MAGEP;МагадЭн ап;"""Магаданэнерго"" ПАО ап";Акции привилегированные;RU0006758893;2-01-00254-A;;3;1,0;RUB;145673254;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;12.11.2010;;;;;335776850.47;1662354296.95;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";4909047148;100;2,2483;2,2483;0,0;4,4966;0,0;4,4966;0,0;4,4966;100,0;;;;;8,71000;10,00000;1;0
MAGN;ММК;"""Магнитогорск.мет.комб"" ПАО ао";Акции обыкновенные;RU0009084396;1-03-00078-A;;1;1,0;RUB;11174330000;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.12.2005;2024-10-17;2.494;0.0611;закрытие реестра;292767446000.0;292767446000.0;"Публичное акционерное общество ""Магнитогорский металлургический комбинат""";7414003633;10;26,152;26,152;21,706;30,598;20,137;32,167;18,306;33,998;17,0;4959118;23,0;24795590;30,0;7,52000;8,69000;0;0
MBNK;МТС Банк;МТС-Банк ао;Акции обыкновенные;RU000A0JRH43;10102268B;;1;500,0;RUB;37526637;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.04.2024;2025-07-11;89.31;0.0782;закрытие реестра;48859681374.0;48859681374.0;"Публичное акционерное общество ""МТС-Банк""";7702045051;1;1303,43;1303,43;651,72;1955,15;260,69;2346,17;65,17;2541,69;50,0;8912;80,0;44560;95,0;6,37000;8,31000;0;0
MDMG;MDMG-ао;МКПАО «МД Медикал Груп»;Акции обыкновенные;RU000A108KL3;1-01-16802-A;;1;7,16872;RUB;75125010;1;1;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.11.2020;2025-10-20;;;закрытие реестра;101659163532.0;101659163532.0;"Международная Компания Публичное Акционерное Общество ""МД Медикал Груп Инвестментс""";3900026494;1;1337,29;1337,29;1002,97;1671,61;922,73;1751,85;334,32;2340,26;25,0;18447;31,0;92235;75,0;6,03000;6,08000;0;0
MFGS;Мегион-ао;"ао ""Славнефть-Мегионнефтегаз""";Акции обыкновенные;RU0009011126;1-03-00149-A;;3;25,0;RUB;99474705;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.01.2005;2013-05-10;;;закрытие реестра;39093559065.0;48051972190.0;"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""";8605003932;10;392,702;392,702;0,0;785,404;0,0;785,404;0,0;785,404;100,0;;;;;13,90000;18,17000;1;0
MFGSP;Мегион-ап;ап Мегионнефтегаз;Акции привилегированные;RU0009011134;2-03-00149-A;;3;25,0;RUB;33056875;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.01.2005;2013-05-10;;;закрытие реестра;8958413125.0;48051972190.0;"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""";8605003932;10;270,794;270,794;0,0;541,588;0,0;541,588;0,0;541,588;100,0;;;;;14,18000;22,06000;1;0
MGKL;МГКЛ;МГКЛ ао;Акции обыкновенные;RU000A0JVJQ8;1-01-11915-A;;3;0,01;RUB;1268545000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;28.12.2023;2025-07-07;0.15;0.0644;закрытие реестра;3160579867.5;3160579867.5;"Публичное акционерное общество ""МГКЛ""";7707600245;100;2,4786;2,4786;1,2393;3,7179;0,4957;4,4615;0,1239;4,8333;50,0;4189359;80,0;20946795;95,0;6,48000;7,78000;0;0
MGNT;Магнит ао;"""Магнит"" ПАО ао";Акции обыкновенные;RU000A0JKQU8;1-01-60525-P;;3;0,01;RUB;101911355;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;24.04.2006;2025-01-09;560.0;0.1158;;259109620087.5;259109620087.5;"Публичное акционерное общество ""Магнит""";2309085638;1;2566,73;2566,73;2002,05;3131,41;1848,05;3285,41;1668,37;3465,09;22,0;65968;28,0;329840;35,0;7,30000;5,87000;0;0
MGNZ;СМЗ-ао;Соликамский магн.завод(ОАО)ао;Акции обыкновенные;RU0009100911;1-01-00283-A;;3;0,25;RUB;398272;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;0;0;0;0;14.10.2008;2023-07-14;4406.56;;закрытие реестра;2963143680.0;2963143680.0;"Открытое акционерное общество ""Соликамский магниевый завод""";5919470019;1;7437,01;7437,01;0,0;14874,02;0,0;14874,02;0,0;14874,02;100,0;;;;;14,95000;22,50000;1;0
MGTS;МГТС-5ао;"ПАО ""МГТС"" ао (5 в)";Акции обыкновенные;RU0009036461;1-05-00083-A;;3;40,0;RUB;79708751;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.01.2005;2019-07-11;232.0;0.1193;закрытие реестра;86563703586.0;98230263170.0;"Публичное акционерное общество ""Московская городская телефонная сеть""";7710016640;1;1077,18;1077,18;0,0;2154,36;0,0;2154,36;0,0;2154,36;100,0;;;;;8,20000;16,63000;1;0
MGTSP;МГТС-4ап;"ПАО ""МГТС"" ап (4 в)";Акции привилегированные;RU0009036479;2-04-00083-A;;3;40,0;RUB;15514042;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.01.2005;2019-07-11;232.0;0.1339;закрытие реестра;11666559584.0;98230263170.0;"Публичное акционерное общество ""Московская городская телефонная сеть""";7710016640;1;733,44;733,44;366,72;1100,16;183,36;1283,52;36,67;1430,21;50,0;6654;75,0;33270;95,0;8,47000;14,64000;1;0
MISB;ТНСэнМарЭл;ТНС энерго Марий Эл ПАО ао;Акции обыкновенные;RU000A0D8K33;1-01-50086-A;;3;0,1;RUB;121847780;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.08.2005;2025-07-04;3.28301887;0.0684;закрытие реестра;6348269338.0;6947989324.0;"Публичное акционерное общество ""ТНС энерго Марий Эл""";1215099739;100;52,0605;52,0605;0,0;104,121;0,0;104,121;0,0;104,121;100,0;;;;;13,21000;22,31000;1;0
MISBP;ТНСэМаЭл-п;ТНС энерго Марий Эл ПАО ап;Акции привилегированные;RU000A0D8K41;2-01-50086-A;;3;0,1;RUB;10652220;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.08.2005;2025-07-04;3.28301887;0.0723;закрытие реестра;599719986.0;6947989324.0;"Публичное акционерное общество ""ТНС энерго Марий Эл""";1215099739;100;56,657;56,657;0,0;113,314;0,0;113,314;0,0;113,314;100,0;;;;;11,44000;28,04000;1;0
MOEX;МосБиржа;ПАО Московская Биржа;Акции обыкновенные;RU000A0JR4A1;1-05-08443-H;;1;1,0;RUB;2276401458;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;04.02.2013;2025-07-10;26.11;0.1512;закрытие реестра;392542667417.52;392542667417.52;"Публичное акционерное общество ""Московская Биржа ММВБ-РТС""";7702077840;10;173,169;173,169;143,73;202,608;133,34;212,998;121,218;225,12;17,0;1051548;23,0;5257740;30,0;5,24000;6,29000;0;0
MRKC;РоссЦентр;"ПАО ""Россети Центр"" ао";Акции обыкновенные;RU000A0JPPL8;1-01-10214-A;;2;0,1;RUB;42217941468;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;21.05.2008;2025-06-25;0.067638;0.1139;закрытие реестра;39296459918.41;39296459918.41;"Публичное акционерное общество ""Россети Центр""";6901067107;1000;0,91845;0,91845;0,61536;1,22154;0,45923;1,37768;0,22961;1,60729;33,0;11024041;50,0;55120205;75,0;7,55000;9,46000;0;0
MRKK;Россети СК;Россети Сев. Кавказ ао;Акции обыкновенные;RU000A0JPPQ7;1-01-34747-E;;3;1,0;RUB;2093354170;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;19.06.2008;2014-07-11;;;закрытие реестра;41406545482.6;41406545482.6;"Публичное акционерное общество ""Россети Северный Кавказ""";2632082033;10;19,785;19,785;0,0;39,57;0,0;39,57;0,0;39,57;100,0;;;;;10,30000;12,16000;1;0
MRKP;РСетиЦП ао;Россети Центр и Приволжье ао;Акции обыкновенные;RU000A0JPN96;1-01-12665-E;;2;0,1;RUB;112697817043;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;07.04.2008;2025-07-01;0.050215;0.1167;закрытие реестра;74752462044.62;74752462044.62;"Публичное акционерное общество ""Россети Центр и Приволжье""";5260200603;10000;0,656302;0,656302;0,439722;0,872882;0,328151;0,984453;0,164076;1,148529;33,0;30860387;50,0;154301935;75,0;8,50000;7,88000;0;0
MRKS;РсетСиб ао;Россети Сибирь ао;Акции обыкновенные;RU000A0JPPF0;1-01-12044-F;;3;0,1;RUB;94815163249;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;05.06.2008;2020-01-14;0.002917;0.0106;закрытие реестра;50678704756.59;50678704756.59;"Публичное акционерное общество ""Россети Сибирь""";2460069527;1000;0,533595;0,533595;0,0;1,06719;0,0;1,06719;0,0;1,06719;100,0;;;;;8,09000;19,45000;1;-18996816
MRKU;Россети Ур;Россети Урал (ПАО) ао;Акции обыкновенные;RU000A0JPPT1;1-01-32501-D;;2;0,1;RUB;87430485711;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;18.06.2008;2025-07-07;0.03741;0.1102;закрытие реестра;54731484055.09;54731484055.09;"Публичное акционерное общество ""Россети Урал""";6671163413;10000;0,622166;0,622166;0,416851;0,827481;0,311083;0,933249;0,155542;1,088791;33,0;27413333;50,0;137066664;75,0;8,85000;12,38000;0;0
MRKV;РсетВол ао;Россети Волга ао;Акции обыкновенные;RU000A0JPPN4;1-01-04247-E;;2;0,1;RUB;188307958732;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;23.05.2008;2025-07-09;0.0074;0.0811;закрытие реестра;37783991919.58;37783991919.58;"Публичное акционерное общество ""Россети Волга""";6450925977;10000;0,197631;0,197631;0,132413;0,262849;0,098816;0,296447;0,049408;0,345854;33,0;165986123;50,0;829930615;75,0;8,61000;9,70000;0;0
MRKY;РоссЮг ао;Россети Юг  (ПАО) ао;Акции обыкновенные;RU000A0JPPG8;1-01-34956-E;;3;0,1;RUB;692279563680;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;22.08.2008;2019-06-19;0.00684170205;0.0989;закрытие реестра;59120674738.27;59120674738.27;"Публичное акционерное общество ""Россети Юг""";6164266561;10000;0,083587;0,083587;0,0;0,167174;0,0;0,167174;0,0;0,167174;100,0;;;;;8,67000;12,55000;1;0
MRKZ;РСетиСЗ ао;ПАО Россети Северо-Запад ао;Акции обыкновенные;RU000A0JPPB9;1-01-03347-D;;2;0,1;RUB;95785923138;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;29.05.2008;2020-06-09;0.0012724293;0.0246;закрытие реестра;16489546668.21;16489546668.21;"Публичное акционерное общество ""Россети Северо-Запад""";7802312751;10000;0,168176;0,168176;0,112678;0,223674;0,084088;0,252264;0,042044;0,294308;33,0;161603103;50,0;808015515;75,0;11,89000;19,58000;0;0
MRSB;МордЭнСб;Мордовск.энергсбыт.комп.ПАО ао;Акции обыкновенные;RU000A0D9AJ7;1-01-55055-E;;3;0,0136;RUB;1345037710;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;01.09.2005;2025-12-14;;;закрытие реестра;1175562958.54;1175562958.54;"Публичное акционерное общество ""Мордовская энергосбытовая компания""";1326192645;10000;0,887326;0,887326;0,0;1,774652;0,0;1,774652;0,0;1,774652;100,0;;;;;11,64000;18,99000;1;0
MSNG;+МосЭнерго;МосЭнерго акции обыкн.;Акции обыкновенные;RU0008958863;1-01-00085-A;;1;1,0;RUB;39749359700;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.01.2005;2025-07-08;0.22606373615;0.1091;;77213131217.25;77213131217.25;"Публичное акционерное общество энергетики и электрификации ""Мосэнерго""";7705035012;1000;1,93212;1,93212;1,44909;2,41515;0,96606;2,89818;0,57964;3,2846;25,0;9529937;50,0;47649685;70,0;6,40000;8,25000;0;0
MSRS;РСетиМР ао;ПАО Россети Моск.рег. ао;Акции обыкновенные;RU000A0ET7Y7;1-01-65116-D;;2;0,5;RUB;48707091574;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.02.2006;2025-07-08;0.15054;0.1224;закрытие реестра;99898244818.27;99898244818.27;"Публичное акционерное общество ""Россети Московский регион""";5036065113;1000;2,05526;2,05526;1,37702;2,7335;1,02763;3,08289;0,51382;3,59671;33,0;8480613;50,0;42403065;75,0;7,98000;10,35000;0;0
MSTT;Мостотрест;"ПАО ""МОСТОТРЕСТ"" ао";Акции обыкновенные;RU0009177331;1-03-02472-A;;3;0,14;RUB;282215500;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;03.11.2010;2019-12-23;11.29;0.0992;;29124639600.0;29124639600.0;"Публичное акционерное общество ""МОСТОТРЕСТ""";7701045732;10;102,822;102,822;30,847;174,797;20,564;185,08;5,141;200,503;70,0;80704;80,0;403522;95,0;9,02000;21,59000;0;0
MTLR;Мечел ао;Мечел ПАО ао;Акции обыкновенные;RU000A0DKXV5;1-01-55005-E;;1;10,0;RUB;416270745;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.12.2008;2021-07-13;;;закрытие реестра;23581737704.25;31074611114.25;"Публичное акционерное общество ""Мечел""";7703370008;1;57,55;57,55;28,78;86,33;11,51;103,59;2,88;112,22;50,0;2557211;80,0;12786055;95,0;9,36000;12,76000;0;0
MTLRP;Мечел ап;Мечел ПАО ап;Акции привилегированные;RU000A0JPV70;2-01-55005-E;;1;10,0;RUB;138756915;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;21.04.2011;2021-07-13;1.17;0.0097;закрытие реестра;7492873410.0;31074611114.25;"Публичное акционерное общество ""Мечел""";7703370008;10;54,479;54,479;27,24;81,719;13,62;95,338;2,724;106,234;50,0;413569;75,0;2067845;95,0;9,21000;11,43000;0;0
MTSS;МТС-ао;Мобильные ТелеСистемы ПАО ао;Акции обыкновенные;RU0007775219;1-01-04715-A;;1;0,1;RUB;1998381575;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.02.2004;2025-07-07;35.0;0.1801;закрытие реестра;443241033335.0;443241033335.0;"Публичное акционерное общество ""Мобильные ТелеСистемы""";7740000076;10;220,785;220,785;183,252;258,318;170,004;271,566;154,55;287,021;17,0;551267;23,0;2756335;30,0;4,67000;7,89000;0;0
MVID;М.видео;"""М.видео"" ПАО ао";Акции обыкновенные;RU000A0JPGA0;1-02-11700-A;;1;10,0;RUB;179768227;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;01.11.2007;2021-12-16;35.0;0.072;закрытие реестра;11082711194.55;11082711194.55;"Публичное акционерное общество ""М.видео""";7707602010;1;61,46;61,46;18,44;104,48;12,29;110,63;3,07;119,85;70,0;143831;80,0;719155;95,0;10,71000;12,51000;0;0
NAUK;iНПОНаука;НПО Наука ао;Акции обыкновенные;RU000A0JRPX9;1-01-04440-A;;3;0,2;RUB;11789500;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;15.12.2011;2025-12-28;;;закрытие реестра;6030329250.0;6030329250.0;"Публичное акционерное общество Научно-производственное объединение ""Наука""";7714005350;10;509,613;509,613;0,0;1019,226;0,0;1019,226;0,0;1019,226;100,0;;;;;12,67000;19,52000;1;0
NFAZ;НЕФАЗ;НЕФАЗ ПАО ао;Акции обыкновенные;RU0009115604;1-01-30520-D;;3;1,0;RUB;8038896;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.09.2011;;;;;1929335040.0;1929335040.0;"Публичное акционерное общество ""НЕФАЗ""";0264004103;10;258,803;258,803;0,0;517,606;0,0;517,606;0,0;517,606;100,0;;;;;10,12000;16,03000;1;0
NKHP;НКХП ао;НКХП ПАО ао;Акции обыкновенные;RU000A0BLWD7;1-03-35684-E;;3;1,0;RUB;67597000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;17.11.2015;2025-12-20;;;закрытие реестра;35454626500.0;35454626500.0;"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""";2315014748;10;515,692;515,692;345,514;685,87;257,846;773,538;128,923;902,461;33,0;14594;50,0;72969;75,0;9,39000;18,97000;0;0
NKNC;НКНХ ао;"""Нижнекамскнефтехим"" ПАО ао";Акции обыкновенные;RU0009100507;1-02-00096-A;;3;1,0;RUB;1611256000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;04.04.2008;2025-07-01;2.93;0.0349;закрытие реестра;114963115600.0;126569254350.0;"Публичное Акционерное Общество ""Нижнекамскнефтехим""";1651000010;10;70,696;70,696;35,348;106,044;17,674;123,718;3,535;137,857;50,0;88099;75,0;440495;95,0;6,15000;7,51000;1;0
NKNCP;НКНХ ап;"""Нижнекамскнефтехим"" ПАО ап";Акции привилегированные;RU0006765096;2-02-00096-A;;3;1,0;RUB;218983750;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;04.04.2008;2025-07-01;2.93;0.0419;закрытие реестра;11606138750.0;126569254350.0;"Публичное Акционерное Общество ""Нижнекамскнефтехим""";1651000010;10;52,614;52,614;35,251;69,977;26,307;78,921;13,154;92,075;33,0;128970;50,0;644850;75,0;5,79000;6,49000;0;0
NKSH;Нижкамшина;Нижнекамскшина ПАО ао;Акции обыкновенные;RU0009100515;1-02-55032-D;;3;1,0;RUB;63731171;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;14.12.2011;;;;;2460023200.6;2460023200.6;"Публичное акционерное общество ""Нижнекамскшина""";1651000027;100;38,5207;38,5207;0,0;77,0414;0,0;77,0414;0,0;77,0414;100,0;;;;;7,99000;12,47000;1;0
NLMK;НЛМК ао;"ПАО ""НЛМК"" ао";Акции обыкновенные;RU0009046452;1-01-00102-A;;1;1,0;RUB;5993227240;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;06.04.2006;2024-05-27;25.43;0.1161;закрытие реестра;515897000819.2;515897000819.2;"Публичное акционерное общество ""Новолипецкий металлургический комбинат""";4823006703;10;86,219;86,219;71,562;100,876;66,389;106,049;60,353;112,085;17,0;1502383;23,0;7511915;30,0;7,13000;7,53000;0;0
NMTP;НМТП ао;НМТП (ПАО) ао;Акции обыкновенные;RU0009084446;1-01-30251-E;;3;0,01;RUB;19259815400;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.11.2007;2025-07-14;0.9573;0.1126;закрытие реестра;161975047514.0;161975047514.0;"Публичное акционерное общество ""Новороссийский морской торговый порт""";2315004404;100;8,394;8,394;5,624;11,164;4,197;12,591;2,0985;14,6895;33,0;1747894;50,0;8739470;75,0;5,24000;6,65000;0;0
NNSB;ТНСэнНН ао;ТНС энерго Нижний Новг.ПАО ао;Акции обыкновенные;RU000A0ET5A1;1-01-55072-E;;3;11,88;RUB;3919400;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.11.2005;2016-07-08;;;закрытие реестра;15403242000.0;16902793920.0;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";5260148520;1;3907,03;3907,03;0,0;7814,06;0,0;7814,06;0,0;7814,06;100,0;;;;;15,62000;30,02000;1;0
NNSBP;ТНСэнНН ап;ТНС энерго Нижний Новг.ПАО ап;Акции привилегированные;RU000A0ET5B9;2-01-55072-E;;3;11,88;RUB;1063512;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.11.2005;2016-07-08;;;закрытие реестра;1499551920.0;16902793920.0;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";5260148520;1;1436,91;1436,91;0,0;2873,82;0,0;2873,82;0,0;2873,82;100,0;;;;;10,18000;25,23000;1;0
