rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;CLASS_UNIT;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;INCLUDEDBYMOEX;IS_QUALIFIED_INVESTORS;HIGH_RISK;EVENINGSESSION;MORNINGSESSION;WEEKENDSESSION;SUSPENSION_LISTING;ISSUEDATE;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED;FULL_COVERED_LIMIT
BRZL;БурЗолото;Бурятзолото ПАО ао;Акции обыкновенные;RU0009288658;1-06-20577-F;;3;0,025;RUB;7027270;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.12.2011;;;;;11018759360.0;11018759360.0;"Публичное акционерное общество ""Бурятзолото""";0323027345;1;1566,81;1566,81;0,0;3133,62;0,0;3133,62;0,0;3133,62;100,0;;;;;8,12000;12,33000;1;-303
BSPB;БСП ао;"ПАО ""Банк ""Санкт-Петербург"" ао";Акции обыкновенные;RU0009100945;10300436B;;1;1,0;RUB;445368521;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;19.03.2008;2026-05-12;;;закрытие реестра;143707060671.07;144767335671.07;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";7831000027;10;321,551;321,551;241,163;401,939;221,87;421,232;80,388;562,714;25,0;150311;31,0;751555;75,0;6,86000;9,31000;0;0
BSPBP;БСП ап;Банк Санкт-Петербург ап;Акции привилегированные;RU000A0JP0U9;20100436B;;3;1,0;RUB;20100000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.01.2021;2026-05-12;;;закрытие реестра;1060275000.0;144767335671.07;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";7831000027;100;52,71;52,71;15,813;89,607;10,542;94,878;2,6355;102,7845;70,0;182648;80,0;913240;95,0;8,53000;13,26000;1;-36540
BTBR;В2В-РТС;В2В-РТС;Акции обыкновенные;RU000A104U43;1-01-00001-G;;2;0,01;RUB;178770100;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;0;0;0;0;17.04.2026;2026-03-29;;;закрытие реестра;23302682535.0;23302682535.0;"Публичное акционерное общество ""В2В-РТС""";9718151838;1;129,91;129,91;64,96;194,87;32,48;227,34;6,5;253,32;50,0;78623;75,0;393115;95,0;5,80000;5,28000;1;0
CARM;СТГ;СТГ ао;Акции обыкновенные;RU000A105NV2;1-01-03536-G;;3;1,0;RUB;2917616015;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;03.07.2023;2025-12-10;;;закрытие реестра;3315870601.05;3315870601.05;"Публичное акционерное общество ""СмартТехГрупп""";9704168849;100;1,1451;1,1451;0,5726;1,7177;0,229;2,0612;0,0573;2,2329;50,0;4455137;80,0;22275684;95,0;6,48000;8,17000;1;-6562541
CBOM;МКБ ао;"""МКБ"" ПАО ао";Акции обыкновенные;RU000A0JUG31;10101978B;;1;1,0;RUB;33429709866;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;22.06.2015;2019-06-07;0.11;0.0184;закрытие реестра;204456105540.46;204456105540.46;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";7734202860;100;6,2083;6,2083;4,1596;8,257;3,1042;9,3125;1,5521;10,8645;33,0;1575841;50,0;7879203;75,0;9,33000;9,74000;0;0
CHGZ;РН-ЗапСиб;РН-Западная Сибирь ПАО ао;Акции обыкновенные;RU0009082291;1-01-00185-A;;3;0,1;RUB;26771420;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;14.12.2011;;;;;3094776152.0;3094776152.0;"Публичное акционерное общество ""РН-Западная Сибирь""";8620003528;10;113,714;113,714;0,0;227,428;0,0;227,428;0,0;227,428;100,0;;;;;17,16000;33,66000;1;0
CHKZ;ЧКПЗ ао;"""ЧКПЗ"" ПАО ао";Акции обыкновенные;RU000A0JNST0;1-03-45058-D;;3;200,0;RUB;600216;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;12.12.2008;2025-07-07;720.0;0.043;закрытие реестра;9963585600.0;9963585600.0;"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""";7449006184;1;16587,4;16587,4;0,0;33174,8;0,0;33174,8;0,0;33174,8;100,0;;;;;11,16000;21,30000;1;0
CHMF;СевСт-ао;Северсталь (ПАО)ао;Акции обыкновенные;RU0009046510;1-02-00143-A;;1;0,01;RUB;837718660;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;02.06.2005;2024-12-17;49.06;0.0484;закрытие реестра;635325831744.0;635325831744.0;"Публичное акционерное общество ""Северсталь""";3528000597;1;758,54;758,54;606,83;910,25;561,32;955,76;508,22;1008,86;20,0;156978;26,0;784890;33,0;7,40000;8,17000;0;0
CHMK;ЧМК ао;"""ЧМК"" ПАО ао";Акции обыкновенные;RU0007665170;1-01-00080-A;;3;1,0;RUB;3161965;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;12.12.2008;;;;;12679479650.0;12679479650.0;"Публичное акционерное общество ""Челябинский металлургический комбинат""";7450001007;1;4026,94;4026,94;2013,47;6040,41;1006,74;7047,15;201,35;7852,53;50,0;948;75,0;4740;95,0;5,95000;12,60000;1;0
